movie_title,movie_imdb_link,country,budget,gross,foreign_currency
There Be Dragons ,http://www.imdb.com/title/tt1316616/?ref_=fn_tt_tt_1,Spain,budget,gross,foreign_currency
The Last Exorcism ,http://www.imdb.com/title/tt1320244/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Never Let Me Go ,http://www.imdb.com/title/tt1334260/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Tinker Tailor Soldier Spy ,http://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
The Great Gatsby ,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Dredd ,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Cloud Atlas ,http://www.imdb.com/title/tt1371111/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Made in Dagenham ,http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Adventurer: The Curse of the Midas Box ,http://www.imdb.com/title/tt1376213/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Mad Max: Fury Road ,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Taken 2 ,http://www.imdb.com/title/tt1397280/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Unknown ,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Happy Feet 2 ,http://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
The Flowers of War ,http://www.imdb.com/title/tt1410063/?ref_=fn_tt_tt_1,China,budget,gross,foreign_currency
The Best Exotic Marigold Hotel ,http://www.imdb.com/title/tt1412386/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Nanny McPhee Returns ,http://www.imdb.com/title/tt1415283/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
I Frankenstein,http://www.imdb.com/title/tt1418377/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Hansel & Gretel: Witch Hunters ,http://www.imdb.com/title/tt1428538/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Arthur Christmas ,http://www.imdb.com/title/tt1430607/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Brick Mansions ,http://www.imdb.com/title/tt1430612/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
The Pirates! Band of Misfits ,http://www.imdb.com/title/tt1430626/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Another Year ,http://www.imdb.com/title/tt1431181/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Little White Lies ,http://www.imdb.com/title/tt1440232/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Quartet ,http://www.imdb.com/title/tt1441951/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Killer Elite ,http://www.imdb.com/title/tt1448755/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Gravity ,http://www.imdb.com/title/tt1454468/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Buried ,http://www.imdb.com/title/tt1462758/?ref_=fn_tt_tt_1,Spain,budget,gross,foreign_currency
The Grandmaster ,http://www.imdb.com/title/tt1462900/?ref_=fn_tt_tt_1,Hong Kong,budget,gross,foreign_currency
Monsters ,http://www.imdb.com/title/tt1470827/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Saw 3D: The Final Chapter ,http://www.imdb.com/title/tt1477076/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Attack the Block ,http://www.imdb.com/title/tt1478964/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
